,model1,model2,phylum1,phylum2,jaccard_distance
4412,67,91,Firmicutes,Firmicutes,0.4189364461738002
483,5,99,Actinobacteria,Firmicutes,0.4193341869398207
2344,28,51,Firmicutes,Actinobacteria,0.4196701282834453
232,3,39,Proteobacteria,Proteobacteria,0.41970121381886083
4348,65,94,Firmicutes,Firmicutes,0.4199243379571248
968,11,35,Firmicutes,Actinobacteria,0.41998877035373383
4382,66,94,Firmicutes,Firmicutes,0.42002518891687657
1482,17,36,Actinobacteria,Actinobacteria,0.4200542005420054
4345,65,91,Firmicutes,Firmicutes,0.4201680672268907
4379,66,91,Firmicutes,Firmicutes,0.42027114267269206
4815,84,86,Proteobacteria,Bacteroidetes,0.4203562340966921
2537,31,34,Firmicutes,Actinobacteria,0.42074363992172215
821,9,67,Firmicutes,Firmicutes,0.4208542713567839
1666,19,57,Actinobacteria,Firmicutes,0.421084704448507
2179,26,31,Firmicutes,Firmicutes,0.4211382113821138
4631,75,82,Bacteroidetes,Bacteroidetes,0.42155525238744884
4082,58,94,Firmicutes,Firmicutes,0.4216691068814056
2732,33,94,Firmicutes,Firmicutes,0.42181340341655715
994,11,61,Firmicutes,Firmicutes,0.421832144816237
871,10,27,Firmicutes,Firmicutes,0.4221453287197232
2138,25,64,Firmicutes,Firmicutes,0.42218543046357615
4483,69,99,Actinobacteria,Firmicutes,0.4221954161640531
3178,40,99,Firmicutes,Firmicutes,0.4222495390288875
2980,37,84,Bacteroidetes,Proteobacteria,0.4227642276422764
1503,17,57,Actinobacteria,Firmicutes,0.4227916385704653
1027,11,94,Firmicutes,Firmicutes,0.42279202279202277
1708,19,99,Actinobacteria,Firmicutes,0.4229390681003584
576,6,98,Proteobacteria,Firmicutes,0.422992299229923
3888,54,74,Proteobacteria,Proteobacteria,0.42301255230125523
427,5,43,Actinobacteria,Firmicutes,0.4231292517006803
4164,60,95,Firmicutes,Firmicutes,0.42352941176470593
3920,55,61,Firmicutes,Firmicutes,0.4235645041014169
955,11,22,Firmicutes,Firmicutes,0.42369020501138954
3456,45,92,Firmicutes,Firmicutes,0.4237012987012987
1637,19,28,Actinobacteria,Firmicutes,0.42376111817026685
1726,20,37,Proteobacteria,Bacteroidetes,0.42380952380952386
819,9,65,Firmicutes,Firmicutes,0.424015009380863
820,9,66,Firmicutes,Firmicutes,0.42410993129294194
3122,40,43,Firmicutes,Firmicutes,0.4250325945241199
961,11,28,Firmicutes,Firmicutes,0.4251152073732719
1805,21,37,Proteobacteria,Bacteroidetes,0.425201072386059
2117,25,43,Firmicutes,Firmicutes,0.4252788104089219
2968,37,72,Bacteroidetes,Proteobacteria,0.4253308128544423
3458,45,94,Firmicutes,Firmicutes,0.425826287471176
1871,22,25,Firmicutes,Firmicutes,0.42584434654919234
4055,58,67,Firmicutes,Firmicutes,0.42587601078167114
4610,74,86,Proteobacteria,Bacteroidetes,0.425974025974026
4053,58,65,Firmicutes,Firmicutes,0.42607526881720426
3066,39,47,Proteobacteria,Fusobacteria,0.42660775650466376
4079,58,91,Firmicutes,Firmicutes,0.4267468069120962
2264,27,43,Firmicutes,Firmicutes,0.4267554479418886
2325,28,32,Firmicutes,Firmicutes,0.42686357243319273
4541,71,98,Firmicutes,Firmicutes,0.42703045685279184
4054,58,66,Firmicutes,Firmicutes,0.42723004694835676
4213,62,67,Firmicutes,Firmicutes,0.4274560832791151
2328,28,35,Firmicutes,Actinobacteria,0.42751180040458525
2723,33,85,Firmicutes,Firmicutes,0.4275862068965517
4211,62,65,Firmicutes,Firmicutes,0.4276443867618429
4212,62,66,Firmicutes,Firmicutes,0.4277381723914452
291,3,98,Proteobacteria,Firmicutes,0.42809177392277564
2384,28,91,Firmicutes,Firmicutes,0.4282685512367491
2396,29,32,Firmicutes,Firmicutes,0.4283935242839353
1024,11,91,Firmicutes,Firmicutes,0.4285714285714286
